iter	MultiClass
0	3.621073958
1	3.491923792
2	3.393473433
3	3.231447949
4	3.156282413
5	3.073987911
6	2.988722186
7	2.886035723
8	2.838250066
9	2.758602139
10	2.635942608
11	2.583451752
12	2.498529816
13	2.418162804
14	2.383903406
15	2.308606995
16	2.174750792
17	2.102193295
18	2.039125714
19	1.946884512
20	1.886400926
21	1.856575189
22	1.795036842
23	1.772719856
24	1.735449331
25	1.71607894
26	1.684114048
27	1.644195423
28	1.618776028
29	1.597316329
30	1.572634468
31	1.554844019
32	1.534840631
33	1.513978706
34	1.49628903
35	1.472584932
36	1.425884316
37	1.376701084
38	1.362454745
39	1.334013721
40	1.274413523
41	1.262367199
42	1.248520758
43	1.236816467
44	1.223992541
45	1.170962434
46	1.159585367
47	1.123838404
48	1.112327862
49	1.092845741
