iter	Passed	Remaining
0	66	3244
1	79	1910
2	90	1416
3	99	1145
4	109	982
5	120	881
6	131	805
7	141	742
8	152	695
9	161	647
10	173	613
11	184	583
12	196	557
13	207	533
14	219	511
15	230	490
16	243	472
17	254	453
18	264	431
19	276	414
20	286	395
21	295	376
22	305	359
23	315	342
24	325	325
25	334	309
26	345	293
27	354	278
28	363	263
29	373	248
30	383	234
31	393	221
32	402	207
33	412	194
34	422	180
35	432	168
36	442	155
37	453	143
38	462	130
39	472	118
40	482	105
41	492	93
42	502	81
43	512	69
44	523	58
45	533	46
46	542	34
47	552	23
48	561	11
49	573	0
